param,estimate,rses,rsesColor,rsesColorCounts,AIC,CorrelationsYellow,CorrelationsOrange,CorrelationsRed,Run,Description
a,0.595259606,8.035959152,NA,Red= 1,498.29,delta - log10pT0,NA - NA,NA - NA,0A,Fit all prms
c_pop,1.273557426,170.1672185,Orange,Orange= 3,498.29,c - tstart,NA,NA,0A,Fit all prms
delta_pop,0.169411221,44.27496186,NA,Yellow= 2,498.29,NA,NA,NA,0A,Fit all prms
log10beta_pop,-3.821982439,-13.27080198,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
log10pT0_pop,5.063831883,13.74870592,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_c,1.913858835,96.26802767,Yellow,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_delta,1.14155518,64.20358168,Yellow,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_log10beta,0.451373456,313.0853921,Red,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_log10pT0,0.755281634,128.6059828,Orange,NA,498.29,NA,NA,NA,0A,Fit all prms
omega_tstart,0.605251926,112.1668421,Orange,NA,498.29,NA,NA,NA,0A,Fit all prms
tstart_pop,4.469686651,31.28565211,NA,NA,498.29,NA,NA,NA,0A,Fit all prms
a,0.605308872,8.240710757,NA,Red= 0,506.26,log10beta - tstart,delta - c,NA - NA,0B,Fit all prms
c_pop,39.94951471,NA,NA,Orange= 0,506.26,NA,NA,NA,0B,Fit all prms
delta_pop,0.099787021,63.15607627,Yellow,Yellow= 4,506.26,NA,NA,NA,0B,Fit all prms
log10beta_pop,-4.009043276,-5.74433101,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
log10pT0_pop,6.281925857,8.439800257,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_c,2.1027117,87.86655177,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_delta,1.697886774,46.95868471,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_log10beta,0.548385966,73.93974197,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_log10pT0,0.933361869,27.63552938,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
omega_tstart,0.206652251,56.25555094,Yellow,NA,506.26,NA,NA,NA,0B,Fit all prms
tstart_pop,5.176159812,18.8911738,NA,NA,506.26,NA,NA,NA,0B,Fit all prms
a,0.597950324,7.396334836,NA,Red= 0,511.83,delta - log10pT0,NA - NA,NA - NA,0C,Fit all prms
c_pop,22.64388853,102.3068625,Orange,Orange= 4,511.83,log10pT0 - log10beta,NA,NA,0C,Fit all prms
delta_pop,0.119898095,49.2559168,NA,Yellow= 2,511.83,c - log10beta,NA,NA,0C,Fit all prms
log10beta_pop,-4.076379574,-8.132637163,NA,NA,511.83,NA,NA,NA,0C,Fit all prms
log10pT0_pop,6.178865145,8.44550346,NA,NA,511.83,NA,NA,NA,0C,Fit all prms
omega_c,1.4093046,103.3389396,Orange,NA,511.83,NA,NA,NA,0C,Fit all prms
omega_delta,1.49850228,50.05894482,Yellow,NA,511.83,NA,NA,NA,0C,Fit all prms
omega_log10beta,0.640837287,110.4480837,Orange,NA,511.83,NA,NA,NA,0C,Fit all prms
omega_log10pT0,0.930391719,25.50192834,NA,NA,511.83,NA,NA,NA,0C,Fit all prms
omega_tstart,0.843732218,119.3707921,Orange,NA,511.83,NA,NA,NA,0C,Fit all prms
tstart_pop,4.291834758,71.93556311,Yellow,NA,511.83,NA,NA,NA,0C,Fit all prms
a,0.813037225,42.43309945,NA,Red= 0,570.75,delta - log10pT0,delta - log10beta,log10pT0 - tstart,0D,Fit all prms
c_pop,27.92751219,NA,NA,Orange= 2,570.75,delta - c,log10pT0 - c,NA,0D,Fit all prms
delta_pop,22.61373172,NA,NA,Yellow= 0,570.75,c - log10beta,NA,NA,0D,Fit all prms
log10beta_pop,-1.94015228,-171.6410238,Orange,NA,570.75,NA,NA,NA,0D,Fit all prms
log10pT0_pop,8.26646958,18.26818879,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
omega_c,3.544519491,191.3706923,Orange,NA,570.75,NA,NA,NA,0D,Fit all prms
omega_delta,1.780358664,NA,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
omega_log10beta,1.725022526,42.04217025,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
omega_log10pT0,1.505303336,24.02395244,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
omega_tstart,0.821429199,44.52670378,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
tstart_pop,6.066202281,45.84912043,NA,NA,570.75,NA,NA,NA,0D,Fit all prms
a,0.576596178,7.579256354,NA,Red= 0,504.79,NA - NA,delta - tstart,NA - NA,0E,Fit all prms
c_pop,0.79019807,160.156431,Orange,Orange= 4,504.79,NA,c - tstart,NA,0E,Fit all prms
delta_pop,0.410396833,162.2687191,Orange,Yellow= 2,504.79,NA,NA,NA,0E,Fit all prms
log10beta_pop,-3.713782225,-5.801297351,NA,NA,504.79,NA,NA,NA,0E,Fit all prms
log10pT0_pop,5.313988404,6.92533431,NA,NA,504.79,NA,NA,NA,0E,Fit all prms
omega_c,1.745714962,92.96522418,Yellow,NA,504.79,NA,NA,NA,0E,Fit all prms
omega_delta,2.443696821,103.7511221,Orange,NA,504.79,NA,NA,NA,0E,Fit all prms
omega_log10beta,0.500196007,50.00203355,Yellow,NA,504.79,NA,NA,NA,0E,Fit all prms
omega_log10pT0,0.782038882,46.82352545,NA,NA,504.79,NA,NA,NA,0E,Fit all prms
omega_tstart,0.706735111,163.7967289,Orange,NA,504.79,NA,NA,NA,0E,Fit all prms
tstart_pop,5.08082543,28.08991936,NA,NA,504.79,NA,NA,NA,0E,Fit all prms
a,0.595025203,12.48956126,NA,Red= 2,497.53,c - tstart,delta - log10beta,NA - NA,1A,c= 3 +re
delta_pop,0.169476735,34.88705124,NA,Orange= 0,497.53,NA,NA,NA,1A,c= 3 +re
log10beta_pop,-3.719113347,12.0350706,NA,Yellow= 0,497.53,NA,NA,NA,1A,c= 3 +re
log10pT0_pop,5.01648452,10.66244621,NA,NA,497.53,NA,NA,NA,1A,c= 3 +re
omega_c,3.865557758,228.5193722,Red,NA,497.53,NA,NA,NA,1A,c= 3 +re
omega_delta,0.81557042,8.32846933,NA,NA,497.53,NA,NA,NA,1A,c= 3 +re
omega_log10beta,0.447140936,7.475930928,NA,NA,497.53,NA,NA,NA,1A,c= 3 +re
omega_log10pT0,0.624111236,NA,NA,NA,497.53,NA,NA,NA,1A,c= 3 +re
omega_tstart,0.551494701,343.0972053,Red,NA,497.53,NA,NA,NA,1A,c= 3 +re
tstart_pop,4.25358273,-44.4989684,NA,NA,497.53,NA,NA,NA,1A,c= 3 +re
a,0.61431734,6.538291897,NA,Red= 2,493.88,delta - log10beta,log10pT0 - log10beta,NA - NA,1B,c= 3 +re
delta_pop,0.152334125,60.87872994,Yellow,Orange= 0,493.88,NA,c - tstart,NA,1B,c= 3 +re
log10beta_pop,-3.663760099,17.28068533,NA,Yellow= 1,493.88,NA,NA,NA,1B,c= 3 +re
log10pT0_pop,5.015438863,5.12407595,NA,NA,493.88,NA,NA,NA,1B,c= 3 +re
omega_c,5.389731102,689.7451578,Red,NA,493.88,NA,NA,NA,1B,c= 3 +re
omega_delta,1.036660241,15.22785324,NA,NA,493.88,NA,NA,NA,1B,c= 3 +re
omega_log10beta,0.261127318,9.690004611,NA,NA,493.88,NA,NA,NA,1B,c= 3 +re
omega_log10pT0,0.26637288,11.08267211,NA,NA,493.88,NA,NA,NA,1B,c= 3 +re
omega_tstart,0.68263237,430.0097929,Red,NA,493.88,NA,NA,NA,1B,c= 3 +re
tstart_pop,4.061545067,-29.62119784,NA,NA,493.88,NA,NA,NA,1B,c= 3 +re
a,0.575178531,7.206277222,NA,Red= 1,504.64,log10beta - tstart,delta - log10beta,NA - NA,1C,c= 3 +re
delta_pop,0.328973613,135.0342519,Orange,Orange= 3,504.64,NA,log10pT0 - c,NA,1C,c= 3 +re
log10beta_pop,-3.971093382,8.599790273,NA,Yellow= 0,504.64,NA,NA,NA,1C,c= 3 +re
log10pT0_pop,5.630705509,6.579789402,NA,NA,504.64,NA,NA,NA,1C,c= 3 +re
omega_c,2.611119909,389.0147284,Red,NA,504.64,NA,NA,NA,1C,c= 3 +re
omega_delta,2.630396182,122.967691,Orange,NA,504.64,NA,NA,NA,1C,c= 3 +re
omega_log10beta,0.340286283,8.385086423,NA,NA,504.64,NA,NA,NA,1C,c= 3 +re
omega_log10pT0,0.453229769,9.505196306,NA,NA,504.64,NA,NA,NA,1C,c= 3 +re
omega_tstart,0.625257208,117.5943592,Orange,NA,504.64,NA,NA,NA,1C,c= 3 +re
tstart_pop,4.459294313,-29.20667568,NA,NA,504.64,NA,NA,NA,1C,c= 3 +re
a,0.610493586,5.709992445,NA,Red= 1,495.38,NA - NA,NA - NA,NA - NA,1D,c= 3 +re
delta_pop,0.152090364,59.63701943,Yellow,Orange= 0,495.38,NA,NA,NA,1D,c= 3 +re
log10beta_pop,-3.685825791,8.204197948,NA,Yellow= 2,495.38,NA,NA,NA,1D,c= 3 +re
log10pT0_pop,4.975551789,7.298377048,NA,NA,495.38,NA,NA,NA,1D,c= 3 +re
omega_c,4.324259854,504.5646017,Red,NA,495.38,NA,NA,NA,1D,c= 3 +re
omega_delta,1.211010867,12.74722477,NA,NA,495.38,NA,NA,NA,1D,c= 3 +re
omega_log10beta,0.329025797,7.030618208,NA,NA,495.38,NA,NA,NA,1D,c= 3 +re
omega_log10pT0,0.306763668,22.95279385,NA,NA,495.38,NA,NA,NA,1D,c= 3 +re
omega_tstart,0.827014487,93.36107445,Yellow,NA,495.38,NA,NA,NA,1D,c= 3 +re
tstart_pop,3.786999853,-29.83532455,NA,NA,495.38,NA,NA,NA,1D,c= 3 +re
a,0.592567147,6.332879426,NA,Red= 1,501.4,delta - tstart,NA - NA,NA - NA,1E,c= 3 +re
delta_pop,0.324199699,126.024575,Orange,Orange= 1,501.4,NA,NA,NA,1E,c= 3 +re
log10beta_pop,-3.914512582,5.083500339,NA,Yellow= 1,501.4,NA,NA,NA,1E,c= 3 +re
log10pT0_pop,5.630919152,9.757659305,NA,NA,501.4,NA,NA,NA,1E,c= 3 +re
omega_c,2.78585706,213.9698299,Red,NA,501.4,NA,NA,NA,1E,c= 3 +re
omega_delta,2.386252477,22.15245696,NA,NA,501.4,NA,NA,NA,1E,c= 3 +re
omega_log10beta,0.276703133,5.242138104,NA,NA,501.4,NA,NA,NA,1E,c= 3 +re
omega_log10pT0,0.579451662,16.6941715,NA,NA,501.4,NA,NA,NA,1E,c= 3 +re
omega_tstart,0.73705527,85.77890934,Yellow,NA,501.4,NA,NA,NA,1E,c= 3 +re
tstart_pop,4.828768912,-39.72553728,NA,NA,501.4,NA,NA,NA,1E,c= 3 +re
a,0.580165696,11.15103917,NA,Red= 2,500.67,delta - c,NA - NA,NA - NA,2A,c= 6 +re
delta_pop,0.279851958,112.9006134,Orange,Orange= 1,500.67,NA,NA,NA,2A,c= 6 +re
log10beta_pop,-3.93168068,3.15839957,NA,Yellow= 0,500.67,NA,NA,NA,2A,c= 6 +re
log10pT0_pop,5.617356487,5.268618744,NA,NA,500.67,NA,NA,NA,2A,c= 6 +re
omega_c,3.760925553,528.8365748,Red,NA,500.67,NA,NA,NA,2A,c= 6 +re
omega_delta,1.665104882,8.387089653,NA,NA,500.67,NA,NA,NA,2A,c= 6 +re
omega_log10beta,0.197554608,3.702966677,NA,NA,500.67,NA,NA,NA,2A,c= 6 +re
omega_log10pT0,0.530596173,15.47967237,NA,NA,500.67,NA,NA,NA,2A,c= 6 +re
omega_tstart,0.410394742,242.2299217,Red,NA,500.67,NA,NA,NA,2A,c= 6 +re
tstart_pop,5.009567691,-20.22835826,NA,NA,500.67,NA,NA,NA,2A,c= 6 +re
a,0.599441624,8.126348242,NA,Red= 1,497.04,delta - log10beta,delta - tstart,NA - NA,2B,c= 6 +re
delta_pop,0.131999286,34.20902159,NA,Orange= 1,497.04,NA,log10pT0 - log10beta,NA,2B,c= 6 +re
log10beta_pop,-3.622366321,5.204041845,NA,Yellow= 1,497.04,NA,c - tstart,NA,2B,c= 6 +re
log10pT0_pop,5.086671042,3.651205788,NA,NA,497.04,NA,NA,NA,2B,c= 6 +re
omega_c,4.550962818,308.6513218,Red,NA,497.04,NA,NA,NA,2B,c= 6 +re
omega_delta,0.904416393,5.854746162,NA,NA,497.04,NA,NA,NA,2B,c= 6 +re
omega_log10beta,0.437313614,5.536487139,NA,NA,497.04,NA,NA,NA,2B,c= 6 +re
omega_log10pT0,0.394510123,32.49746182,NA,NA,497.04,NA,NA,NA,2B,c= 6 +re
omega_tstart,0.552971025,148.2647224,Orange,NA,497.04,NA,NA,NA,2B,c= 6 +re
tstart_pop,4.578011898,-58.19239227,Yellow,NA,497.04,NA,NA,NA,2B,c= 6 +re
a,0.610748489,34.64701579,NA,Red= 0,497.66,NA - NA,NA - NA,NA - NA,2C,c= 6 +re
delta_pop,0.110630184,53.73416098,Yellow,Orange= 1,497.66,NA,NA,NA,2C,c= 6 +re
log10beta_pop,-3.773768657,4.615551092,NA,Yellow= 2,497.66,NA,NA,NA,2C,c= 6 +re
log10pT0_pop,5.399741152,7.192493724,NA,NA,497.66,NA,NA,NA,2C,c= 6 +re
omega_c,1.932250459,174.3179378,Orange,NA,497.66,NA,NA,NA,2C,c= 6 +re
omega_delta,1.133662053,9.741556199,NA,NA,497.66,NA,NA,NA,2C,c= 6 +re
omega_log10beta,0.416546074,17.92370223,NA,NA,497.66,NA,NA,NA,2C,c= 6 +re
omega_log10pT0,0.945264206,63.74676521,Yellow,NA,497.66,NA,NA,NA,2C,c= 6 +re
omega_tstart,0.119797152,41.48759269,NA,NA,497.66,NA,NA,NA,2C,c= 6 +re
tstart_pop,5.564784478,-35.80588766,NA,NA,497.66,NA,NA,NA,2C,c= 6 +re
a,0.576113554,6.851439463,NA,Red= 1,498.54,c - tstart,NA - NA,NA - NA,2D,c= 6 +re
delta_pop,0.251455104,57.50340549,Yellow,Orange= 0,498.54,NA,NA,NA,2D,c= 6 +re
log10beta_pop,-3.859057001,3.340868079,NA,Yellow= 2,498.54,NA,NA,NA,2D,c= 6 +re
log10pT0_pop,5.522492978,5.020620147,NA,NA,498.54,NA,NA,NA,2D,c= 6 +re
omega_c,4.010676917,284.8017469,Red,NA,498.54,NA,NA,NA,2D,c= 6 +re
omega_delta,1.763579612,14.14394194,NA,NA,498.54,NA,NA,NA,2D,c= 6 +re
omega_log10beta,0.328732701,5.074273217,NA,NA,498.54,NA,NA,NA,2D,c= 6 +re
omega_log10pT0,0.490652274,10.83439767,NA,NA,498.54,NA,NA,NA,2D,c= 6 +re
omega_tstart,0.583714917,84.43997003,Yellow,NA,498.54,NA,NA,NA,2D,c= 6 +re
tstart_pop,4.856942947,-27.93136511,NA,NA,498.54,NA,NA,NA,2D,c= 6 +re
a,0.587834585,25.18206195,NA,Red= 1,498.45,NA - NA,NA - NA,NA - NA,2E,c= 6 +re
delta_pop,0.201334932,98.50030141,Yellow,Orange= 0,498.45,NA,NA,NA,2E,c= 6 +re
log10beta_pop,-3.794138681,5.896585729,NA,Yellow= 2,498.45,NA,NA,NA,2E,c= 6 +re
log10pT0_pop,5.450416889,13.04999119,NA,NA,498.45,NA,NA,NA,2E,c= 6 +re
omega_c,3.576163936,253.112733,Red,NA,498.45,NA,NA,NA,2E,c= 6 +re
omega_delta,1.247539125,16.84358516,NA,NA,498.45,NA,NA,NA,2E,c= 6 +re
omega_log10beta,0.41986592,8.432443729,NA,NA,498.45,NA,NA,NA,2E,c= 6 +re
omega_log10pT0,0.682927614,NA,NA,NA,498.45,NA,NA,NA,2E,c= 6 +re
omega_tstart,0.301519179,78.67602088,Yellow,NA,498.45,NA,NA,NA,2E,c= 6 +re
tstart_pop,4.980396534,-24.42353857,NA,NA,498.45,NA,NA,NA,2E,c= 6 +re
a,0.610282653,8.52337396,NA,Red= 2,492.14,NA - NA,c - tstart,delta - log10beta,3A,c= 12 +re
delta_pop,0.155436749,41.14042875,NA,Orange= 0,492.14,NA,NA,NA,3A,c= 12 +re
log10beta_pop,-3.781685001,2.487773858,NA,Yellow= 0,492.14,NA,NA,NA,3A,c= 12 +re
log10pT0_pop,5.16867396,2.832959575,NA,NA,492.14,NA,NA,NA,3A,c= 12 +re
omega_c,5.801750228,1812.802326,Red,NA,492.14,NA,NA,NA,3A,c= 12 +re
omega_delta,1.075486063,6.705758298,NA,NA,492.14,NA,NA,NA,3A,c= 12 +re
omega_log10beta,0.23459759,4.91691206,NA,NA,492.14,NA,NA,NA,3A,c= 12 +re
omega_log10pT0,0.129691756,16.5476518,NA,NA,492.14,NA,NA,NA,3A,c= 12 +re
omega_tstart,0.592594162,387.5935215,Red,NA,492.14,NA,NA,NA,3A,c= 12 +re
tstart_pop,4.198896363,-27.19574122,NA,NA,492.14,NA,NA,NA,3A,c= 12 +re
a,0.568792171,6.488075282,NA,Red= 1,511.86,delta - tstart,NA - NA,NA - NA,3B,c= 12 +re
delta_pop,0.213994759,68.04314146,Yellow,Orange= 0,511.86,log10pT0 - log10beta,NA,NA,3B,c= 12 +re
log10beta_pop,-3.580226932,10.51616922,NA,Yellow= 2,511.86,NA,NA,NA,3B,c= 12 +re
log10pT0_pop,5.85160839,5.762099106,NA,NA,511.86,NA,NA,NA,3B,c= 12 +re
omega_c,2.845625654,208.0510561,Red,NA,511.86,NA,NA,NA,3B,c= 12 +re
omega_delta,2.066083589,23.30100755,NA,NA,511.86,NA,NA,NA,3B,c= 12 +re
omega_log10beta,0.983606696,62.41436144,Yellow,NA,511.86,NA,NA,NA,3B,c= 12 +re
omega_log10pT0,0.768709053,12.95715995,NA,NA,511.86,NA,NA,NA,3B,c= 12 +re
omega_tstart,0.696083834,40.64069096,NA,NA,511.86,NA,NA,NA,3B,c= 12 +re
tstart_pop,5.27300065,-32.89815028,NA,NA,511.86,NA,NA,NA,3B,c= 12 +re
a,0.597379244,6.549315396,NA,Red= 1,493.98,NA - NA,delta - log10beta,NA - NA,3C,c= 12 +re
delta_pop,0.171103606,38.71359106,NA,Orange= 1,493.98,NA,NA,NA,3C,c= 12 +re
log10beta_pop,-3.85119659,1.62805064,NA,Yellow= 1,493.98,NA,NA,NA,3C,c= 12 +re
log10pT0_pop,5.317871917,3.607686211,NA,NA,493.98,NA,NA,NA,3C,c= 12 +re
omega_c,5.093174233,485.7485072,Red,NA,493.98,NA,NA,NA,3C,c= 12 +re
omega_delta,1.097474953,7.120844217,NA,NA,493.98,NA,NA,NA,3C,c= 12 +re
omega_log10beta,0.27528075,7.412637104,NA,NA,493.98,NA,NA,NA,3C,c= 12 +re
omega_log10pT0,0.314432423,68.22137205,Yellow,NA,493.98,NA,NA,NA,3C,c= 12 +re
omega_tstart,0.684696062,111.9742628,Orange,NA,493.98,NA,NA,NA,3C,c= 12 +re
tstart_pop,4.196997012,-29.05642797,NA,NA,493.98,NA,NA,NA,3C,c= 12 +re
a,0.581194907,7.953030248,NA,Red= 1,497.35,delta - tstart,NA - NA,NA - NA,3D,c= 12 +re
delta_pop,0.183355095,52.20415055,Yellow,Orange= 1,497.35,NA,NA,NA,3D,c= 12 +re
log10beta_pop,-3.811849957,1.011805027,NA,Yellow= 1,497.35,NA,NA,NA,3D,c= 12 +re
log10pT0_pop,5.40988291,5.363513969,NA,NA,497.35,NA,NA,NA,3D,c= 12 +re
omega_c,4.38620887,338.035367,Red,NA,497.35,NA,NA,NA,3D,c= 12 +re
omega_delta,1.469206875,9.921645314,NA,NA,497.35,NA,NA,NA,3D,c= 12 +re
omega_log10beta,0.236821548,5.943679773,NA,NA,497.35,NA,NA,NA,3D,c= 12 +re
omega_log10pT0,0.499043515,20.55732401,NA,NA,497.35,NA,NA,NA,3D,c= 12 +re
omega_tstart,0.642872672,119.8649508,Orange,NA,497.35,NA,NA,NA,3D,c= 12 +re
tstart_pop,4.823556455,-30.02512319,NA,NA,497.35,NA,NA,NA,3D,c= 12 +re
a,0.669196042,9.341873991,NA,Red= 2,547.01,log10pT0 - c,c - tstart,NA - NA,3E,c= 12 +re
delta_pop,79.68883296,228.6599387,Red,Orange= 1,547.01,NA,NA,NA,3E,c= 12 +re
log10beta_pop,-2.922129831,8.779978014,NA,Yellow= 1,547.01,NA,NA,NA,3E,c= 12 +re
log10pT0_pop,7.335209509,15.42698625,NA,NA,547.01,NA,NA,NA,3E,c= 12 +re
omega_c,6.663308558,264.4424281,Red,NA,547.01,NA,NA,NA,3E,c= 12 +re
omega_delta,0.724610753,39.04256133,NA,NA,547.01,NA,NA,NA,3E,c= 12 +re
omega_log10beta,1.692065672,19.3953792,NA,NA,547.01,NA,NA,NA,3E,c= 12 +re
omega_log10pT0,0.849319198,118.3964797,Orange,NA,547.01,NA,NA,NA,3E,c= 12 +re
omega_tstart,0.757095124,21.24980373,NA,NA,547.01,NA,NA,NA,3E,c= 12 +re
tstart_pop,5.234346606,-88.50268056,Yellow,NA,547.01,NA,NA,NA,3E,c= 12 +re
a,0.60063765,7.953636617,NA,Red= 1,503.73,log10pT0 - tstart,log10pT0 - log10beta,NA - NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
beta_delta_Dynamics_Rebound,2.427837154,42.82531844,NA,Orange= 0,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
c_pop,10.0567372,240.5732067,Red,Yellow= 3,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
delta_pop,0.027499846,84.07511028,Yellow,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
log10beta_pop,-3.940675066,-8.679422561,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
log10pT0_pop,5.746150501,11.52833477,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
omega_c,1.917190355,86.15698789,Yellow,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
omega_delta,1.317771091,44.73165651,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
omega_log10beta,0.454632305,77.60541268,Yellow,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
omega_log10pT0,0.623598099,46.88040969,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
omega_tstart,0.786050232,32.19897203,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
tstart_pop,4.917813908,27.8004475,NA,NA,503.73,NA,NA,NA,01A,"Fit all prms, Dynamics=cat covdeltaA"
a,0.62093274,7.319627246,NA,Red= 0,471.04,NA - NA,NA - NA,NA - NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
beta_log10pT0_Dynamics_Rebound,-1.891719771,-16.01273821,NA,Orange= 1,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
c_pop,29.54821009,74.42937133,Yellow,Yellow= 4,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
delta_pop,0.116950264,40.26491673,NA,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
log10beta_pop,-3.921163954,-5.17317578,NA,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
log10pT0_pop,7.066353978,5.13621208,NA,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
omega_c,2.246636391,70.40554853,Yellow,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
omega_delta,1.181718597,37.02780371,NA,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
omega_log10beta,0.359631514,64.45200255,Yellow,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
omega_log10pT0,0.179882803,109.7521295,Orange,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
omega_tstart,0.051649318,88.13873798,Yellow,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
tstart_pop,6.24531939,6.084157559,NA,NA,471.04,NA,NA,NA,02A,"Fit all prms, Dynamics=cat covlog10pT0A"
a,0.595118437,7.356646216,NA,Red= 0,477.27,delta - log10beta,NA - NA,NA - NA,03A,"Fit all prms, Dynamics=cat covcA"
beta_c_Dynamics_Rebound,6.043193985,21.47764968,NA,Orange= 1,477.27,c - tstart,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
c_pop,0.129099696,98.04373175,Yellow,Yellow= 5,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
delta_pop,0.173146679,95.88274269,Yellow,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
log10beta_pop,-3.784782029,-6.138068427,NA,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
log10pT0_pop,5.235020289,3.755409256,NA,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
omega_c,1.307775331,64.67070997,Yellow,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
omega_delta,1.334377305,38.1862525,NA,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
omega_log10beta,0.254086711,115.8567923,Orange,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
omega_log10pT0,0.284301416,98.51073843,Yellow,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
omega_tstart,0.6760013,57.45731477,Yellow,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
tstart_pop,4.298746201,30.91222594,NA,NA,477.27,NA,NA,NA,03A,"Fit all prms, Dynamics=cat covcA"
a,0.608443556,7.69678422,NA,Red= 0,497.8,NA - NA,log10pT0 - log10beta,NA - NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
beta_log10beta_Dynamics_Rebound,-0.310205494,-130.2692616,Orange,Orange= 3,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
c_pop,1.35288142,121.2058785,Orange,Yellow= 1,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
delta_pop,0.194484896,42.34288951,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
log10beta_pop,-3.638057448,-9.909675544,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
log10pT0_pop,5.09753282,4.201943485,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
omega_c,4.174193155,28.0799003,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
omega_delta,1.167352315,37.44762585,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
omega_log10beta,0.338475556,38.85814438,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
omega_log10pT0,0.21659687,54.92367178,Yellow,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
omega_tstart,0.578737223,153.490696,Orange,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
tstart_pop,3.841649856,37.96493522,NA,NA,497.8,NA,NA,NA,04A,"Fit all prms, Dynamics=cat covlog10betaA"
a,0.603075161,9.556545589,NA,Red= 2,496.32,log10pT0 - log10beta,NA - NA,NA - NA,05A,"Fit all prms, Dynamics=cat covtstartA"
